"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-12","Ottawa-Gatineau, Ontario/Quebec","","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709081","12.8.1.1","6.8","","","","1"
"2026-01","Ottawa-Gatineau, Ontario/Quebec","","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709081","12.8.1.1","6.6","","","","1"
"2026-02","Ottawa-Gatineau, Ontario/Quebec","","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709081","12.8.1.1","6.5","","","","1"
"2025-10","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709351","13.8.1.1","7.6","","","","1"
"2025-11","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709351","13.8.1.1","7.3","","","","1"
"2025-12","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709351","13.8.1.1","7.1","","","","1"
"2026-01","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709351","13.8.1.1","6.7","","","","1"
"2026-02","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709351","13.8.1.1","6.2","","","","1"
"2025-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709621","14.8.1.1","7.8","","","","1"
"2025-11","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709621","14.8.1.1","7.0","","","","1"
"2025-12","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709621","14.8.1.1","6.8","","","","1"
