"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-11","Montréal, Quebec","2021S0503462","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708865","11.10.1.1","62.9","","","","1"
"2025-12","Montréal, Quebec","2021S0503462","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708865","11.10.1.1","62.9","","","","1"
"2026-01","Montréal, Quebec","2021S0503462","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708865","11.10.1.1","62.6","","","","1"
"2026-02","Montréal, Quebec","2021S0503462","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642708865","11.10.1.1","61.9","","","","1"
"2025-10","Ottawa-Gatineau, Ontario/Quebec","","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709135","12.10.1.1","61.4","","","","1"
"2025-11","Ottawa-Gatineau, Ontario/Quebec","","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709135","12.10.1.1","60.7","","","","1"
"2025-12","Ottawa-Gatineau, Ontario/Quebec","","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709135","12.10.1.1","61.2","","","","1"
"2026-01","Ottawa-Gatineau, Ontario/Quebec","","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709135","12.10.1.1","61.0","","","","1"
"2026-02","Ottawa-Gatineau, Ontario/Quebec","","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709135","12.10.1.1","61.4","","","","1"
"2025-10","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709405","13.10.1.1","62.0","","","","1"
"2025-11","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709405","13.10.1.1","62.1","","","","1"
"2025-12","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709405","13.10.1.1","62.5","","","","1"
"2026-01","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709405","13.10.1.1","61.9","","","","1"
"2026-02","Ottawa-Gatineau, Quebec part, Ontario/Quebec","2021S050524505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709405","13.10.1.1","62.0","","","","1"
"2025-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709675","14.10.1.1","61.2","","","","1"
"2025-11","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709675","14.10.1.1","60.3","","","","1"
"2025-12","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2021S050535505","Employment rate","Total - Gender","15 years and over","Percent","239","units","0","v1642709675","14.10.1.1","60.8","","","","1"
